Real_1,Pred_1,Real_2,Pred_2,Real_3,Pred_3,Real_4,Pred_4,Real_5,Pred_5,Real_6,Pred_6,Real_7,Pred_7,Real_8,Pred_8,Real_9,Pred_9,Real_10,Pred_10,Real_11,Pred_11,Real_12,Pred_12
118379.73883290826,114814.46,118433.78513026409,114160.82,118078.32575499937,113669.0,118373.06712224887,113239.25,118586.26472420427,112995.766,118102.75685806658,113347.73,117604.01001209718,113134.69,118166.34352460799,112986.7,118371.49200750593,112929.445,117845.38888074942,113093.34,118120.789797975,113333.15,118401.52002558019,113108.79
118433.78513026409,114787.42,118078.32575499937,114120.9,118373.06712224887,113658.914,118586.26472420427,113198.67,118102.75685806658,112989.234,117604.01001209718,113342.76,118166.34352460799,113106.445,118371.49200750593,112961.484,117845.38888074942,112904.62,118120.789797975,113056.59,118401.52002558019,113281.4,118451.55339004018,113038.164
118078.32575499937,114783.38,118373.06712224887,114072.48,118586.26472420427,113646.336,118102.75685806658,113132.086,117604.01001209718,112974.87,118166.34352460799,113318.36,118371.49200750593,113040.96,117845.38888074942,112894.164,118120.789797975,112838.01,118401.52002558019,112982.555,118451.55339004018,113173.37,117982.46569801336,112893.516
118373.06712224887,114825.62,118586.26472420427,114127.8,118102.75685806658,113704.37,117604.01001209718,113200.31,118166.34352460799,113033.96,118371.49200750593,113362.15,117845.38888074942,113096.63,118120.789797975,112948.11,118401.52002558019,112889.85,118451.55339004018,113015.72,117982.46569801336,113197.016,118132.7507203996,112930.51
118586.26472420427,114837.21,118102.75685806658,114131.6,117604.01001209718,113706.29,118166.34352460799,113184.56,118371.49200750593,113034.94,117845.38888074942,113357.95,118120.789797975,113093.63,118401.52002558019,112946.81,118451.55339004018,112900.35,117982.46569801336,113012.56,118132.7507203996,113196.84,118632.49453402618,112924.5
118102.75685806658,114907.45,117604.01001209718,114165.586,118166.34352460799,113733.07,118371.49200750593,113180.47,117845.38888074942,113055.8,118120.789797975,113369.44,118401.52002558019,113102.76,118451.55339004018,112956.6,117982.46569801336,112923.19,118132.7507203996,113026.49,118632.49453402618,113215.89,118629.05588130427,112924.53
117604.01001209718,114948.58,118166.34352460799,114183.375,118371.49200750593,113762.586,117845.38888074942,113193.28,118120.789797975,113091.73,118401.52002558019,113379.02,118451.55339004018,113120.38,117982.46569801336,112984.234,118132.7507203996,112944.52,118632.49453402618,113041.27,118629.05588130427,113233.09,119099.95992326792,112932.836
118166.34352460799,114904.86,118371.49200750593,114140.414,117845.38888074942,113743.086,118120.789797975,113170.33,118401.52002558019,113094.22,118451.55339004018,113347.81,117982.46569801336,113107.27,118132.7507203996,112992.88,118632.49453402618,112934.34,118629.05588130427,113025.8,119099.95992326792,113222.914,119093.24843494687,112928.9
118371.49200750593,114911.11,117845.38888074942,114117.984,118120.789797975,113712.58,118401.52002558019,113111.64,118451.55339004018,113067.91,117982.46569801336,113310.94,118132.7507203996,113080.71,118632.49453402618,112980.75,118629.05588130427,112929.36,119099.95992326792,113022.44,119093.24843494687,113232.08,119044.5049606742,112927.81
117845.38888074942,114987.3,118120.789797975,114155.26,118401.52002558019,113730.43,118451.55339004018,113102.6,117982.46569801336,113083.97,118132.7507203996,113314.32,118632.49453402618,113111.22,118629.05588130427,113019.37,119099.95992326792,112979.99,119093.24843494687,113074.164,119044.5049606742,113305.45,118571.64691305421,112990.88
118120.789797975,114997.03,118401.52002558019,114149.45,118451.55339004018,113725.78,117982.46569801336,113089.516,118132.7507203996,113103.805,118632.49453402618,113303.016,118629.05588130427,113147.11,119099.95992326792,113072.7,119093.24843494687,113026.9,119044.5049606742,113121.11,118571.64691305421,113376.76,118040.31482311334,113067.62
118401.52002558019,114987.99,118451.55339004018,114117.83,117982.46569801336,113683.97,118132.7507203996,113024.44,118632.49453402618,113085.305,118629.05588130427,113268.6,119099.95992326792,113153.99,119093.24843494687,113093.62,119044.5049606742,113056.87,118571.64691305421,113154.76,118040.31482311334,113436.17,117731.59658011796,113125.44
118451.55339004018,115028.52,117982.46569801336,114121.34,118132.7507203996,113664.375,118632.49453402618,112975.695,118629.05588130427,113085.39,119099.95992326792,113255.98,119093.24843494687,113190.5,119044.5049606742,113134.375,118571.64691305421,113119.055,118040.31482311334,113218.52,117731.59658011796,113528.164,117421.54712428327,113214.195
117982.46569801336,115063.49,118132.7507203996,114118.74,118632.49453402618,113641.51,118629.05588130427,112923.555,119099.95992326792,113094.34,119093.24843494687,113243.12,119044.5049606742,113239.18,118571.64691305421,113184.4,118040.31482311334,113192.96,117731.59658011796,113291.62,117421.54712428327,113627.34,118297.59077540097,113315.55
118132.7507203996,114996.31,118632.49453402618,114025.95,118629.05588130427,113559.77,119099.95992326792,112814.555,119093.24843494687,113075.68,119044.5049606742,113177.24,118571.64691305421,113218.47,118040.31482311334,113178.44,117731.59658011796,113184.14,117421.54712428327,113283.164,118297.59077540097,113625.54,118813.7430411176,113316.47
118632.49453402618,114946.26,118629.05588130427,113959.17,119099.95992326792,113474.945,119093.24843494687,112744.05,119044.5049606742,113033.57,118571.64691305421,113082.99,118040.31482311334,113219.84,117731.59658011796,113165.18,117421.54712428327,113204.22,118297.59077540097,113296.195,118813.7430411176,113645.3,118626.88604747498,113378.33
118629.05588130427,114911.75,119099.95992326792,113895.664,119093.24843494687,113374.35,119044.5049606742,112654.336,118571.64691305421,112945.21,118040.31482311334,112955.14,117731.59658011796,113163.86,117421.54712428327,113095.03,118297.59077540097,113172.555,118813.7430411176,113263.24,118626.88604747498,113627.305,118306.15441974839,113376.055
119099.95992326792,114878.06,119093.24843494687,113846.195,119044.5049606742,113292.63,118571.64691305421,112599.62,118040.31482311334,112872.086,117731.59658011796,112835.81,117421.54712428327,113093.09,118297.59077540097,113019.06,118813.7430411176,113108.23,118626.88604747498,113203.75,118306.15441974839,113582.555,118706.26528613694,113338.51
